,,,,,RNP,Последнее обновление:,"2026-04-02
10:39",Статус:,Exception: Адрес недоступен: http://atagoband.ru:8001/api/v1/rnp,Запросить обновление: ,Обновить,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_id,form_id,is_percent,seq_block,,nmId,vendorCode,title,parameter,user_parameter,Keywords,Итого период,2026-04-01,2026-03-31,2026-03-30,2026-03-29,2026-03-28,2026-03-27,2026-03-26,2026-03-25,2026-03-24,2026-03-23,2026-03-22,2026-03-21,2026-03-20,2026-03-19,2026-03-18,2026-03-17,2026-03-16,2026-03-15,2026-03-14,2026-03-13,2026-03-12,2026-03-11,2026-03-10,2026-03-09,2026-03-08,2026-03-07,2026-03-06,2026-03-05,2026-03-04,2026-03-03,2026-03-02
5,1,,0,,,,,expProfit,"Прогнозируемая прибыль, руб",, 5 696 434,  87 625,  111 950,  111 655,  162 185,  112 427,  118 214,  158 680,  162 750,  146 789,  155 992,  201 598,  161 308,  158 104,  213 636,  210 543,  203 052,  218 721,  406 309,  339 154,  273 959,  298 207,  327 867,  319 284,  287 684,  130 835,  102 426,  80 023,  111 283,  127 954,  112 112,  84 110
5,1,,0,,,,,margin,"Маржинальность, %",,9.81%,5.30%,6.75%,6.63%,9.19%,6.99%,7.67%,9.42%,9.31%,9.29%,10.12%,10.88%,9.95%,10.39%,13.17%,13.04%,11.77%,12.60%,15.34%,14.28%,12.87%,11.96%,13.23%,13.38%,11.28%,7.63%,6.48%,4.77%,6.25%,6.30%,5.36%,4.24%
5,1,,0,,,,,fin_Profit,"Прибыль, руб",, 2 406 207,  74 379,  27 161,  28 954,  63 536,  48 916,  44 967,-  11 245,  59 138,  45 872,  110 562,  119 448,  118 526,  85 107,  130 063,  117 690,  82 343,  111 978,  99 349,  105 580,  135 692,  98 884,  13 992,  27 416,  58 340,  58 432,  83 679,  95 978,  120 097,  79 335,  139 271,  32 766
5,1,,0,,,,,fin_margin,"Прибыль, %",,4.77%,4.81%,1.90%,2.11%,4.07%,3.10%,2.78%,-0.91%,4.02%,3.43%,7.07%,7.31%,7.50%,5.94%,7.79%,7.38%,5.15%,6.64%,5.55%,5.80%,7.02%,5.52%,0.92%,1.89%,3.58%,3.72%,4.33%,5.10%,6.32%,4.39%,6.81%,2.18%
5,1,,0,,,,,roi,"ROI, %",,41.12%,22.72%,29.10%,28.49%,40.49%,31.11%,33.29%,40.94%,40.11%,40.53%,44.33%,45.62%,41.43%,44.21%,57.56%,56.42%,49.51%,53.77%,67.34%,62.06%,54.12%,49.83%,55.88%,56.44%,46.61%,31.43%,26.44%,18.21%,24.31%,24.42%,20.44%,16.20%
5,1,,0,,,,,romi,"ROMI, %",,3.76%,2.97%,2.29%,0.63%,3.92%,2.54%,3.40%,4.55%,3.71%,2.48%,2.90%,2.57%,2.21%,3.09%,3.28%,4.22%,3.92%,4.76%,7.78%,7.03%,6.72%,6.25%,9.11%,8.81%,3.43%,1.07%,1.21%,1.66%,2.54%,3.59%,2.58%,1.18%
5,1,,0,,,,,reductOrdToSale,"К. приведения заказа в выкуп, %",,42.20%,34.80%,35.86%,36.96%,37.53%,37.91%,39.01%,38.69%,38.79%,38.52%,39.28%,39.01%,38.53%,38.48%,40.18%,39.62%,40.26%,39.65%,50.74%,50.60%,51.22%,51.06%,51.13%,51.60%,51.68%,41.59%,40.22%,42.28%,41.74%,42.34%,41.70%,41.53%
5,1,,0,,,,,buyOurRateDyn,"К. выкупа в динамике, %",,46.37%,43.37%,39.05%,42.01%,41.03%,43.34%,42.32%,38.69%,42.16%,40.44%,43.83%,44.30%,42.17%,41.17%,44.82%,43.83%,44.67%,43.65%,42.72%,45.74%,45.65%,47.14%,41.82%,45.79%,50.79%,50.76%,51.32%,51.02%,53.26%,56.95%,72.81%,83.43%
5,1,,0,,,,,orders_qnt_Total,"Заказы итого, шт",,  45 763,  1 600,  1 536,  1 514,  1 580,  1 418,  1 301,  1 435,  1 482,  1 354,  1 277,  1 557,  1 370,  1 304,  1 292,  1 304,  1 359,  1 401,  1 683,  1 537,  1 338,  1 638,  1 610,  1 554,  1 683,  1 409,  1 323,  1 394,  1 462,  1 653,  1 750,  1 645
5,1,,0,,,,,revenue_orders_Total,"Выручка от заказов без самовыкупов, руб",, 137 631 130, 4 751 969, 4 626 396, 4 558 536, 4 701 139, 4 244 174, 3 949 442, 4 351 715, 4 507 066, 4 102 340, 3 923 987, 4 748 428, 4 206 506, 3 953 972, 4 037 767, 4 076 067, 4 285 110, 4 378 988, 5 219 029, 4 693 165, 4 154 477, 4 882 306, 4 845 363, 4 623 080, 4 932 911, 4 122 477, 3 930 710, 3 966 420, 4 268 964, 4 794 445, 5 020 900, 4 773 281
5,1,,0,,,,,expRavenue,"Прогнозируемая выручка с учётом коэф. выкупа, руб",, 58 075 676, 1 653 842, 1 658 978, 1 685 024, 1 764 309, 1 609 044, 1 540 680, 1 683 752, 1 748 185, 1 580 299, 1 541 500, 1 852 365, 1 620 771, 1 521 485, 1 622 200, 1 614 975, 1 725 030, 1 736 282, 2 648 301, 2 374 653, 2 127 990, 2 493 057, 2 477 644, 2 385 497, 2 549 272, 1 714 677, 1 581 032, 1 677 125, 1 781 732, 2 030 193, 2 093 580, 1 982 202
5,1,,0,,,,,expOrders,"Прогнозируемые продажи, шт",,  19 287,   552,   546,   551,   590,   533,   501,   549,   571,   515,   495,   607,   527,   500,   516,   516,   545,   559,   851,   778,   683,   834,   819,   802,   868,   589,   542,   594,   619,   708,   736,   693
