week_start,week_end,revenue,profit,ads
2026-01-10,2026-01-16,639582,32952,92961
2026-01-17,2026-01-23,626768,19171,98200
2026-01-24,2026-01-30,651657,37402,100680
2026-01-31,2026-02-06,671072,37373,100274
2026-02-07,2026-02-13,668569,28713,100238
2026-02-14,2026-02-20,657819,24740,101622
2026-02-21,2026-02-27,603749,34676,89720
2026-02-28,2026-03-06,638372,35435,98708
2026-03-07,2026-03-13,609394,30588,94009
2026-03-14,2026-03-20,622794,21807,100599
2026-03-21,2026-03-27,648224,27647,95829
2026-03-28,2026-04-02,471055,22985,72799
