date,vendorCode,title,category,sales,profit,ads,stock
2026-01-10,WB-1001,Power Blender X,Kitchen,18147,2232,1835,386
2026-01-10,WB-1002,Air Fryer Pro 5L,Kitchen,21219,-39,2783,817
2026-01-10,WB-2001,Vitamin D3 2000IU,Health,9332,-88,1313,629
2026-01-10,WB-2002,Omega-3 Ultra,Health,13070,-730,2558,833
2026-01-10,WB-3001,Yoga Mat Grip+,Sport,11273,-3,2397,629
2026-01-10,WB-3002,Resistance Bands Set,Sport,13800,2358,1193,534
2026-01-10,WB-4001,LED Desk Lamp Slim,Home,6045,440,583,1497
2026-01-10,WB-4002,Organizer Box Set,Home,6250,380,1008,911
2026-01-11,WB-1001,Power Blender X,Kitchen,18601,758,1651,518
2026-01-11,WB-1002,Air Fryer Pro 5L,Kitchen,20273,616,2835,894
2026-01-11,WB-2001,Vitamin D3 2000IU,Health,11606,1452,1415,1566
2026-01-11,WB-2002,Omega-3 Ultra,Health,9850,429,1580,1837
2026-01-11,WB-3001,Yoga Mat Grip+,Sport,10445,1635,1256,383
2026-01-11,WB-3002,Resistance Bands Set,Sport,8484,-353,1578,710
2026-01-11,WB-4001,LED Desk Lamp Slim,Home,4742,327,822,1176
2026-01-11,WB-4002,Organizer Box Set,Home,8839,948,1095,1204
2026-01-12,WB-1001,Power Blender X,Kitchen,19006,2101,2734,1250
2026-01-12,WB-1002,Air Fryer Pro 5L,Kitchen,17673,-764,3057,1009
2026-01-12,WB-2001,Vitamin D3 2000IU,Health,13235,430,2898,928
2026-01-12,WB-2002,Omega-3 Ultra,Health,11040,-551,1916,1201
2026-01-12,WB-3001,Yoga Mat Grip+,Sport,6908,229,665,956
2026-01-12,WB-3002,Resistance Bands Set,Sport,6664,452,764,1046
2026-01-12,WB-4001,LED Desk Lamp Slim,Home,4944,321,706,1586
2026-01-12,WB-4002,Organizer Box Set,Home,8564,-311,1721,968
2026-01-13,WB-1001,Power Blender X,Kitchen,16220,1126,3305,464
2026-01-13,WB-1002,Air Fryer Pro 5L,Kitchen,13920,625,1565,795
2026-01-13,WB-2001,Vitamin D3 2000IU,Health,12748,50,1488,1135
2026-01-13,WB-2002,Omega-3 Ultra,Health,10901,1234,1736,1553
2026-01-13,WB-3001,Yoga Mat Grip+,Sport,9097,561,1514,327
2026-01-13,WB-3002,Resistance Bands Set,Sport,11517,815,2178,982
